               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.021218,           0.0081782,           0.0014676,             0.99646,                   1,               0.995,             0.79397,            0.020383,           0.0026646,          0.00067364,            0.002278,            0.002278,            0.002278
                 119,             0.02073,           0.0088039,           0.0010404,             0.99622,                   1,               0.995,             0.81892,            0.018238,           0.0026122,          0.00064103,            0.002212,            0.002212,            0.002212
                 120,            0.022269,           0.0088481,           0.0008084,             0.99616,                   1,               0.995,             0.79368,            0.019769,           0.0026676,          0.00062438,            0.002146,            0.002146,            0.002146
                 121,             0.02165,            0.008812,           0.0015587,             0.99561,                   1,               0.995,             0.81058,            0.017799,           0.0025996,          0.00059845,             0.00208,             0.00208,             0.00208
                 122,            0.022032,           0.0088519,           0.0016243,             0.99603,                   1,               0.995,             0.80875,            0.018605,           0.0026195,          0.00057594,            0.002014,            0.002014,            0.002014
                 123,            0.021478,           0.0092311,             0.00109,             0.99619,                   1,               0.995,             0.82076,            0.017714,             0.00258,          0.00057221,            0.001948,            0.001948,            0.001948
                 124,            0.021139,           0.0083924,           0.0013915,             0.99622,                   1,               0.995,             0.80005,            0.017632,           0.0025969,          0.00056779,            0.001882,            0.001882,            0.001882
                 125,            0.022974,            0.008977,           0.0010289,             0.99635,                   1,               0.995,             0.82546,            0.016726,           0.0025631,          0.00056095,            0.001816,            0.001816,            0.001816
                 126,            0.020904,           0.0087834,          0.00090255,             0.99689,                   1,               0.995,             0.81867,            0.017417,           0.0025644,          0.00055201,             0.00175,             0.00175,             0.00175
                 127,            0.020828,           0.0089682,           0.0010004,             0.99706,                   1,               0.995,             0.81582,            0.017843,           0.0025739,          0.00055807,            0.001684,            0.001684,            0.001684
                 128,             0.02045,           0.0084424,            0.001001,             0.99699,                   1,               0.995,              0.8178,            0.017623,           0.0025833,          0.00055428,            0.001618,            0.001618,            0.001618
                 129,            0.020333,           0.0084693,          0.00076677,             0.99693,                   1,               0.995,             0.82975,            0.016568,           0.0025658,          0.00054658,            0.001552,            0.001552,            0.001552
                 130,            0.022355,           0.0089297,           0.0011731,             0.99716,                   1,               0.995,             0.82971,            0.016989,           0.0025825,          0.00053738,            0.001486,            0.001486,            0.001486
                 131,            0.019965,           0.0088737,          0.00089421,             0.99739,                   1,               0.995,             0.84315,            0.016048,           0.0025544,          0.00052417,             0.00142,             0.00142,             0.00142
                 132,            0.019289,           0.0084894,          0.00094747,             0.99753,                   1,               0.995,             0.83597,            0.016218,           0.0025559,          0.00052076,            0.001354,            0.001354,            0.001354
                 133,            0.020264,            0.008647,           0.0011776,             0.99782,                   1,               0.995,             0.82508,            0.016559,           0.0025712,          0.00050779,            0.001288,            0.001288,            0.001288
